Сигнал;Маркировка;Откуда;Куда;Цвет;Прим.;Разъём;Изображение
AC;;XS1:1;XS2:3;WH;;XS1;I-DS1073-03-SCB002x5.jpg
NC;;XS1:2;;;;XS2;XARP-05V-WGT4.jpg
NC;;XS1:3;;;;XS3;XARP-04V-WGT4.jpg
SH1;3;XS1:4;;;;;
SH2;4;XS1:5;;;;;
CC;;XS1:6;XS3:3;WH;;;
AV;;XS1:7;XS2:1;BN;;;
CV;;XS1:8;XS3:1;BN;;;
MBT1;5;XS1:9;RK1;;;;
MBT2;6;XS1:10;RK1;;;;
