Сигнал;Маркировка;Откуда;Куда;Цвет;Прим.;Разъём;Изображение
SF_1 ;;XS1:1;XS2:1;BN;;XS1;I-DS1073-02-SCT02x3.jpg
SH_1 ;3;XS1:2;;;;XS2;XARP-03V-WGT4.jpg
SF_2 ;;XS1:3;XS2:3;WH;;XS3;XARP-04V-WGT4.jpg
LF_1 ;;XS1:4;XS3:1;BN;;;
SH_2 ;4;XS1:5;;;;;
LF_2 ;;XS1:6;XS3:3;WH;;;
